,q1a,q1b,q1c,q2b,q3b,q4a,q4b,q4c,q4d,q5a,q5b,q5c,q6a,q6b,q6c,q7a,q7b,q7c,q7d,q7e,q7f,q8a,q8b,q8c,q8d,q8e,q8f,q9a,q9b,q9c,q9d,q9e,q9f,q10a,q10b,q10c,q10d,q10e,q10f,q11a,q11b,q11c,q11d,q11e,q12a,q12b,q12c,q12d,q13a,q14a,q14b,q14c,q14d,q14e,q14f,q15a,q15b,q15c,q15d,q16a,q16b,q17a,q17b,q17c,q18b,q18c,q18g,age18,q20a,q20b,q20c,q21a,q21b,q21c,q22a,q22b,q22c,q22d1,q22d2,q22f,q23c,q24a,q24b,q24c,q24d,q25
0,1,7,7,1,1,1,1,0,1,6,3,4,1,1,1,8,8,8,8,8,1,1,1,1,1,1,1,1,2,4,5,1,1,1,1,1,1,1,1,4,4,2,4,4,8,7,4,3,5,8,8,8,8,8,8,-1,-1,1,-1,-1,6,1,1,1,2,8,1984,26,5,5,5,2,2,1,3,11,-1,-1,-1,0,1,4,4,4,4,4
1,1,1,2,3,3,1,4,1,5,6,2,6,3,5,4,2,2,2,2,2,1,2,3,6,6,2,4,2,3,6,6,1,2,2,3,6,6,1,2,1,1,1,1,1,8,5,4,2,4,4,5,8,5,5,4,4,1,5,8,2,3,1,1,4,2,3,1989,21,4,3,3,1,2,1,3,12,1,4,1,0,3,4,3,3,2,5
2,3,1,2,1,2,1,2,1,4,6,3,5,4,5,5,1,1,1,1,1,1,3,5,6,6,2,2,1,2,3,3,1,2,1,2,2,3,1,1,1,1,1,1,1,8,6,4,4,4,2,5,8,5,4,5,2,5,6,15,2,5,1,1,4,2,2,1989,21,1,2,1,2,4,4,3,12,0,0,0,0,1,2,2,2,2,3
3,1,2,1,2,2,1,2,1,6,6,5,6,1,5,4,1,2,2,2,1,8,2,3,2,4,1,2,4,4,6,6,5,5,1,1,1,2,2,1,2,1,2,3,2,8,8,4,4,5,8,8,8,8,8,8,3,2,5,99,1,6,1,1,1,2,8,1991,19,6,6,5,1,2,4,3,7,1,3,0,0,1,2,3,3,3,4
4,1,1,6,1,1,1,1,1,2,6,4,6,2,6,4,1,1,1,1,1,3,2,3,3,3,1,4,3,3,5,5,5,4,2,3,3,4,2,4,3,3,3,3,4,8,8,3,2,6,2,4,4,5,5,5,4,5,4,13,2,6,1,1,1,1,5,1981,29,5,4,5,1,2,1,7,9,0,2,0,0,1,2,2,2,2,2
5,2,1,2,-1,1,1,3,1,6,5,5,5,-1,-1,-1,1,-1,2,2,2,2,2,3,3,2,2,2,3,4,5,6,3,4,2,2,3,2,1,2,1,2,2,1,1,8,8,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,2,8,1983,27,5,5,5,1,4,3,6,3,-1,2,-1,-1,2,-1,-1,-1,-1,3
6,3,4,5,2,3,1,2,1,4,5,5,4,5,6,4,1,1,1,1,1,1,3,4,6,6,6,3,4,4,6,6,6,2,3,4,3,6,1,2,2,2,3,3,2,1,6,2,7,5,5,4,4,1,1,2,4,4,4,16,3,5,1,1,4,1,1,1974,36,5,5,5,2,2,1,7,2,0,2,0,0,1,4,2,2,2,2
7,1,4,6,3,-1,1,6,1,6,1,1,1,6,6,6,2,2,2,1,1,1,2,3,5,5,1,1,2,2,5,5,1,1,2,2,5,5,1,1,1,1,1,4,4,8,3,4,3,6,2,4,8,4,1,2,1,1,4,15,2,6,1,0,4,2,5,1987,23,4,4,3,2,2,1,6,1,0,3,-1,0,1,3,4,2,3,3
8,1,3,2,2,2,1,2,1,3,6,6,6,6,6,5,1,1,1,1,1,1,4,4,6,6,3,1,4,6,6,6,6,2,4,5,6,6,4,2,4,4,4,4,4,4,8,7,5,5,2,5,4,2,1,4,4,4,5,8,2,6,0,0,1,2,5,1978,32,3,4,3,1,2,1,5,3,0,1,-1,0,1,2,2,2,2,3
9,2,2,-1,2,1,1,3,1,6,-1,-1,-1,3,5,6,-1,-1,-1,-1,-1,-1,4,6,5,6,2,2,-1,4,4,1,1,1,1,2,1,1,1,1,2,3,2,3,2,8,8,4,4,6,3,5,8,4,8,1,5,1,3,14,4,2,0,0,-1,2,2,1988,22,1,4,1,1,2,4,4,-1,0,6,-1,0,1,4,4,4,4,4
10,6,1,3,2,-1,1,2,1,3,6,6,6,6,6,6,-1,-1,-1,-1,-1,-1,4,4,3,6,4,2,4,3,-1,-1,-1,-1,2,4,2,2,-1,2,4,4,2,4,4,8,8,2,4,6,4,5,5,5,-1,5,2,5,5,19,3,6,-1,1,1,2,5,1981,29,3,2,-1,1,4,4,7,5,-1,2,-1,-1,1,3,3,4,4,2
11,5,6,6,4,3,1,4,1,4,6,6,5,6,6,6,2,2,2,1,2,1,2,2,5,6,2,2,2,2,3,6,3,2,2,2,2,2,2,2,4,4,3,4,4,8,8,6,6,4,5,5,5,5,5,5,6,1,1,7,3,4,1,1,1,1,1,1972,38,5,4,5,1,2,1,4,10,1,-1,-1,0,2,4,4,4,4,3
12,6,6,6,2,4,1,1,1,6,6,3,6,2,3,4,8,2,2,8,2,3,1,3,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,8,8,4,7,5,1,3,1,5,1,1,8,1,4,18,1,6,1,1,1,1,1,1974,36,5,5,5,2,2,1,3,8,1,1,0,0,3,4,4,4,3,4
13,1,3,3,-1,-1,1,1,1,1,2,2,2,2,2,4,2,2,2,2,-1,2,1,3,5,4,5,2,1,4,5,5,4,2,1,4,5,5,4,2,1,1,1,1,1,8,8,7,4,6,2,2,1,2,2,8,6,1,1,13,1,6,1,1,1,1,1,1954,56,5,4,4,-1,2,3,2,10,1,2,0,0,3,2,4,4,4,4
14,1,1,3,2,2,1,3,1,6,5,1,4,4,3,4,8,1,1,8,8,2,2,2,3,3,1,2,2,2,3,3,1,2,1,1,2,3,1,2,2,2,2,2,2,8,8,4,4,5,3,5,8,5,3,3,4,4,5,16,1,6,1,1,1,2,2,1980,30,1,2,1,1,4,1,7,11,1,1,0,0,1,3,3,3,4,4
15,1,3,3,-1,2,1,4,1,6,6,3,6,4,6,6,1,1,1,1,1,2,4,6,5,6,2,1,1,2,3,3,1,1,1,4,1,4,1,1,1,3,1,1,1,8,7,1,4,5,4,5,2,4,5,5,4,2,4,19,2,5,1,1,1,2,2,1989,21,1,1,1,1,2,1,3,1,0,4,3,0,1,3,3,3,4,4
16,1,1,6,3,3,1,2,1,1,4,4,5,3,3,5,1,1,1,1,1,1,1,6,5,6,5,4,1,6,4,6,4,2,1,3,2,6,3,2,3,3,2,3,3,8,8,4,4,6,5,3,1,2,2,3,6,3,5,32,3,5,1,1,4,1,12,1966,44,5,4,5,3,2,1,4,12,1,5,-1,0,1,3,2,2,3,4
17,2,5,5,2,2,1,1,1,1,3,3,3,1,1,6,1,1,1,1,1,2,4,4,2,6,2,2,4,4,6,6,-1,2,5,5,6,6,1,2,1,1,1,1,1,8,5,5,2,4,2,5,1,5,1,5,4,5,3,13,2,6,0,0,4,2,5,1987,23,6,6,2,1,3,3,5,12,0,2,0,0,1,1,1,1,1,3
18,6,2,3,3,3,1,6,1,6,1,1,1,6,6,6,1,1,1,1,1,1,2,2,2,6,3,1,2,2,6,6,4,2,2,2,6,6,2,1,2,3,3,3,3,8,7,4,2,6,4,5,1,3,2,5,-1,1,2,15,4,6,0,1,1,1,1,1990,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,1,1,6,3,1,1,1,1,5,5,2,4,4,6,6,2,1,2,2,2,2,2,4,6,6,5,2,1,1,6,5,2,1,1,1,6,1,1,1,1,2,1,1,1,8,8,5,1,5,3,5,1,5,5,5,1,2,5,2,5,1,1,1,1,1,1,1987,23,5,5,5,1,2,1,5,9,1,2,0,0,3,4,3,4,4,4
20,2,2,2,2,2,1,1,1,3,6,4,5,4,5,6,1,1,2,1,1,2,2,3,5,6,1,1,1,2,4,3,1,1,2,2,3,6,1,1,1,1,1,2,2,8,3,2,2,6,2,4,1,4,1,4,3,6,6,13,2,5,1,0,4,1,1,1985,25,5,5,5,1,4,5,5,2,0,0,0,0,1,3,2,2,3,4
21,2,4,4,1,2,1,1,1,4,5,3,6,6,6,6,2,2,2,2,1,3,5,5,5,5,5,3,4,4,2,5,2,3,5,5,3,5,1,3,3,3,2,3,3,8,8,4,5,5,5,5,3,5,3,5,5,3,4,22,3,6,1,1,3,2,5,1956,54,1,3,1,1,4,4,7,11,1,0,0,0,1,3,3,3,3,-1
22,1,1,5,-1,-1,1,2,1,3,4,3,6,3,5,4,2,2,2,1,1,1,1,3,6,6,1,3,1,3,6,6,1,3,1,2,6,6,1,2,1,3,1,3,3,8,8,4,2,5,8,8,8,8,8,8,-1,1,1,-1,1,6,1,1,1,2,8,1979,31,5,5,5,2,2,1,5,12,1,0,0,0,1,3,3,3,3,3
23,1,1,1,2,1,-1,2,1,4,6,4,6,3,5,4,1,1,1,1,1,1,2,2,5,5,1,1,3,4,6,6,1,2,1,3,5,5,1,1,1,1,1,3,3,8,6,6,1,5,1,2,8,8,2,2,8,5,6,27,2,6,1,0,4,2,5,1981,29,5,5,5,1,2,3,7,1,0,-1,-1,0,2,2,2,2,2,4
24,2,4,4,2,-1,1,5,1,5,4,3,3,5,5,6,1,1,2,8,8,2,2,3,5,5,2,4,2,3,4,4,1,3,4,4,5,5,2,4,1,1,1,1,1,5,5,3,1,6,5,5,1,2,3,4,6,3,5,15,2,3,1,1,1,1,5,1983,27,4,4,3,1,4,3,7,10,1,2,-1,0,1,4,4,4,4,4
25,1,1,1,3,3,1,1,1,1,3,1,3,5,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,8,8,6,4,6,8,8,8,8,8,8,-1,-1,-1,99,-1,6,1,1,3,2,8,1988,22,5,5,5,1,2,1,5,1,0,3,-1,0,1,2,4,3,3,5
26,2,2,3,1,2,1,3,1,3,6,2,5,3,5,5,2,2,2,2,1,2,1,2,6,6,3,2,1,2,2,6,1,1,1,1,1,1,1,1,2,3,3,3,1,8,8,4,-1,6,2,4,1,2,1,3,2,3,5,13,5,5,1,1,4,1,1,1980,30,5,5,5,2,4,3,5,10,0,-1,-1,0,1,2,2,2,2,3
27,1,1,1,2,2,1,1,1,1,1,3,2,3,6,5,2,2,1,1,1,1,1,2,1,6,2,1,1,2,2,6,1,1,1,1,1,5,1,1,1,1,1,1,1,8,7,4,1,3,8,8,8,8,8,8,6,1,1,99,2,5,1,1,1,2,8,1990,20,6,6,5,1,4,1,4,11,0,2,-1,0,1,4,4,4,4,4
28,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,4,1,1,2,2,2,2,1,1,6,4,4,-1,2,2,1,1,1,2,6,1978,32,4,5,5,5,4,4,6,5,1,1,2,0,1,-1,-1,-1,-1,4
29,1,7,7,3,2,1,1,1,3,6,2,4,2,4,3,-1,-1,-1,-1,-1,-1,1,2,2,1,1,2,2,4,3,2,5,2,1,2,1,1,1,1,1,2,2,2,3,8,8,4,3,2,8,8,8,8,8,8,-1,-1,-1,-1,-1,-1,1,1,-1,2,8,1974,36,5,5,5,2,2,1,7,11,1,3,0,0,1,3,3,4,4,4
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,1,1,1,1,3,2,3,1,1,1,1,1,1,1,1,2,3,3,3,3,8,8,4,5,6,2,5,1,5,8,5,1,5,6,18,1,6,1,1,1,2,3,1982,28,4,4,3,2,2,1,5,9,1,1,-1,0,1,2,3,4,4,3
31,6,2,3,3,3,1,5,1,6,3,5,5,3,3,3,1,1,2,1,1,1,3,3,4,5,1,1,1,1,3,3,3,1,4,4,4,4,1,1,3,3,2,2,2,1,7,1,-1,6,5,5,1,5,5,5,5,1,2,18,4,6,1,1,1,2,2,1975,35,1,2,1,1,2,4,3,11,1,1,-1,0,1,3,3,3,3,3
32,1,1,1,2,1,1,3,1,4,5,5,5,4,6,4,1,1,1,1,1,2,5,6,6,6,2,3,4,4,5,6,2,2,2,2,2,2,1,1,3,3,3,3,3,8,8,4,4,4,3,4,2,4,3,5,5,5,4,20,1,5,1,0,3,2,5,1987,23,1,3,3,2,2,1,4,9,0,2,0,0,1,3,2,2,2,3
33,1,2,1,2,1,1,4,1,1,6,2,6,3,4,2,1,2,1,1,1,1,2,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,4,3,1,8,3,4,6,5,5,5,5,5,5,1,1,6,14,2,1,1,1,3,1,2,1986,24,1,2,1,3,2,1,3,5,0,2,-1,0,3,2,2,2,2,-1
34,1,6,6,3,3,1,1,1,6,1,1,4,6,6,6,2,2,2,2,2,2,5,5,3,6,1,2,6,5,3,6,1,2,5,5,3,6,1,2,4,4,2,4,4,8,8,4,1,6,8,8,8,8,8,8,6,1,4,12,1,6,1,1,3,1,1,1991,19,5,5,5,3,4,3,2,-1,0,2,1,0,3,4,4,4,4,3
35,1,6,5,3,3,1,6,1,6,6,6,6,6,5,6,8,8,8,8,8,8,1,1,1,1,1,1,4,3,4,3,3,4,3,2,3,2,2,4,4,4,4,4,4,2,2,5,7,6,5,5,5,5,5,5,3,1,1,15,4,4,1,1,1,1,12,1990,20,5,4,2,1,4,1,2,8,0,3,3,0,3,4,4,4,4,5
36,2,3,1,1,2,-1,2,1,6,6,2,5,6,3,6,1,1,2,1,3,1,4,6,3,6,6,1,1,6,3,6,6,1,2,6,1,6,1,1,-1,-1,-1,-1,-1,8,8,4,4,6,5,5,2,5,5,4,6,4,1,10,3,1,1,1,1,1,1,1987,23,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
37,3,1,2,3,-1,1,1,1,6,3,1,2,1,2,4,2,2,2,2,2,2,1,1,2,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,4,5,1,1,1,1,4,1,4,9,2,6,1,1,3,2,-1,1990,20,1,2,1,1,4,5,3,1,0,-1,-1,0,-1,4,3,3,3,3
38,4,1,1,-1,2,1,6,1,6,4,4,5,4,4,4,2,2,2,1,1,1,3,3,3,4,2,2,4,6,6,6,6,6,2,2,2,2,2,2,4,4,4,3,4,1,1,5,8,6,5,5,5,5,5,5,5,2,3,-1,3,6,1,1,1,2,8,1988,22,6,6,2,3,2,4,3,4,1,2,1,0,1,3,3,3,3,4
39,1,7,7,-1,-1,1,4,1,6,4,3,6,6,6,6,-1,-1,-1,-1,-1,-1,1,1,1,6,1,4,1,1,1,6,1,5,1,1,1,6,1,4,2,2,2,2,2,1,1,4,4,6,2,2,1,1,1,2,3,1,3,17,2,2,1,1,4,2,12,1990,20,3,3,3,2,2,4,2,1,0,2,-1,0,3,1,1,2,3,1
40,2,4,3,1,1,1,6,1,3,3,3,5,5,4,2,8,8,8,8,8,1,1,4,2,1,1,2,1,2,2,6,1,2,1,4,2,1,1,2,2,3,2,1,2,8,7,4,2,6,8,8,8,8,8,8,-1,1,1,-1,4,6,1,1,1,2,8,1972,38,5,5,5,4,4,4,3,9,1,-1,-1,0,1,3,2,2,2,3
41,2,7,7,4,-1,1,4,1,4,2,1,2,3,6,6,2,2,2,8,2,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,3,2,2,3,1,1,7,3,6,4,4,8,8,2,2,1,1,1,99,1,2,1,1,1,2,8,1992,18,5,5,5,4,4,3,1,1,0,1,1,0,1,2,2,3,3,4
42,4,4,3,1,-1,1,2,1,6,6,6,6,3,6,6,1,1,1,1,1,1,2,3,4,6,1,2,2,3,3,6,1,2,2,2,3,6,1,1,1,1,1,3,1,1,6,1,1,6,5,5,1,1,2,5,6,4,2,14,1,6,1,1,1,2,3,1992,18,3,3,2,2,4,5,1,4,0,2,0,0,2,2,4,2,3,4
43,1,1,3,1,1,1,3,1,6,6,4,6,1,3,6,3,8,1,8,2,2,1,2,3,3,1,1,5,4,3,2,1,1,1,2,3,3,1,1,2,2,2,3,3,1,1,2,4,6,5,5,1,1,4,3,6,4,3,6,3,6,1,1,1,2,2,1992,18,1,1,1,5,4,3,2,1,0,6,3,0,3,2,3,2,2,2
44,4,2,4,3,-1,1,3,1,6,6,6,6,6,4,5,2,2,2,2,2,2,2,4,4,6,1,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,8,8,4,1,6,5,5,5,2,3,4,6,2,2,17,3,3,0,0,1,1,1,1986,24,5,5,5,3,2,1,3,9,0,2,-1,0,1,3,3,3,4,4
45,2,5,4,1,-1,1,2,0,4,2,2,2,1,3,3,-1,-1,-1,-1,-1,-1,1,1,1,5,1,1,1,1,1,3,1,1,1,1,1,3,1,1,3,3,2,3,3,1,2,2,4,5,2,2,1,2,1,1,2,1,4,35,3,2,1,1,4,1,1,1967,43,4,2,5,3,2,1,7,10,1,0,1,0,3,3,3,1,2,2
46,2,3,2,1,1,1,2,1,2,1,1,1,5,6,4,1,1,1,1,1,2,2,2,5,4,3,2,4,3,5,4,5,2,1,2,2,1,1,1,2,4,2,3,3,1,8,3,3,6,4,5,8,5,5,5,3,3,5,12,2,6,1,1,4,1,5,1986,24,5,4,4,1,2,1,5,10,0,2,0,0,2,3,3,2,3,3
47,2,1,1,2,2,1,4,1,6,5,6,5,3,5,5,1,2,2,1,1,2,2,4,4,2,1,1,2,6,5,5,4,2,2,2,1,1,1,1,2,4,1,2,3,7,7,1,5,5,8,8,8,8,8,-1,-1,6,5,9,4,6,1,1,4,2,8,1989,21,5,5,4,2,2,1,3,2,0,6,-1,0,1,2,2,2,2,3
48,1,7,7,3,2,1,1,1,2,6,5,5,2,2,3,2,2,2,1,1,1,2,4,3,6,4,4,2,3,2,3,2,3,1,1,1,1,1,1,3,-1,4,4,3,1,1,3,7,4,8,8,8,8,8,8,4,-1,-1,-1,-1,-1,1,1,3,2,8,1989,21,5,5,5,2,2,1,2,11,0,2,1,0,1,2,3,4,4,3
49,1,1,2,2,4,1,5,1,6,5,5,-1,4,5,4,1,1,2,1,1,2,6,6,5,6,6,2,6,6,4,6,6,1,5,4,3,6,4,2,3,4,4,3,4,7,7,3,6,6,1,4,2,8,1,3,1,5,4,14,4,6,1,0,4,1,5,1988,22,4,3,4,1,2,1,3,7,0,1,-1,0,2,4,3,3,3,1
50,4,2,4,1,2,1,6,1,3,6,6,6,6,6,6,1,1,1,1,1,3,6,6,4,6,5,3,6,6,5,6,6,4,6,6,4,6,6,6,1,1,1,1,1,8,8,4,1,6,2,5,8,5,3,5,8,4,5,6,3,6,1,1,4,2,7,1989,21,6,6,2,1,3,1,3,10,0,3,-1,0,1,2,2,2,2,2
51,6,3,4,3,-1,1,6,1,6,3,4,6,6,6,6,2,1,2,1,1,1,2,6,2,2,2,2,2,6,4,6,1,1,2,6,3,5,1,1,1,1,1,1,1,5,5,4,1,6,5,5,5,5,5,5,6,1,2,16,4,6,1,1,1,2,2,1966,44,1,1,1,2,2,1,3,-1,0,4,0,0,1,3,3,3,3,4
52,1,1,1,-1,-1,-1,-1,1,6,6,6,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,3,2,1,7,1,1,5,2,4,1,4,1,3,1,1,6,17,2,6,1,1,4,2,3,1987,23,3,3,3,2,2,1,4,-1,-1,-1,-1,-1,2,4,4,4,4,4
54,6,5,6,4,2,1,6,1,6,3,4,6,4,4,4,2,1,1,1,2,1,1,1,3,6,1,4,1,3,5,6,1,2,2,2,2,5,1,2,3,1,1,3,3,1,8,7,1,6,5,5,5,5,5,5,4,1,1,18,2,6,0,1,1,1,1,1980,30,4,5,5,1,4,3,3,4,0,6,0,0,2,2,2,4,4,5
55,6,4,6,3,3,1,6,1,6,6,4,3,3,3,3,2,2,2,2,2,2,4,4,4,6,2,3,3,3,3,3,3,3,3,3,3,3,4,2,4,2,4,4,3,1,1,4,5,6,5,5,3,5,3,5,6,6,5,18,5,1,1,1,1,2,2,1976,34,1,2,1,1,3,1,5,11,0,1,2,1,1,4,4,4,4,5
56,6,5,4,3,3,1,5,1,6,6,6,6,6,6,6,1,8,2,1,1,1,2,2,4,4,4,2,2,2,4,4,4,2,2,2,4,4,2,2,1,1,1,1,1,1,5,1,1,6,4,4,1,4,1,4,3,1,4,16,1,1,0,0,1,1,1,1985,25,5,5,5,1,4,1,3,2,0,3,0,0,2,4,4,4,4,3
57,1,6,1,3,2,1,3,1,2,4,1,5,3,3,3,1,2,1,1,1,1,1,2,1,1,1,2,1,2,2,2,1,2,1,1,1,1,1,1,2,2,3,3,1,1,1,4,3,3,8,8,8,8,8,8,8,3,1,-1,3,6,1,1,4,2,8,1991,19,6,6,5,3,2,3,3,11,0,2,1,0,1,2,2,2,2,3
58,6,5,5,2,2,1,6,1,6,6,6,6,6,6,6,2,2,2,2,2,1,2,2,3,1,2,2,2,2,3,1,2,2,2,2,-1,1,2,2,4,4,4,4,4,1,-1,4,6,-1,-1,-1,-1,-1,-1,-1,6,1,1,99,-1,6,1,0,-1,1,-1,1935,75,-1,1,-1,-1,2,1,-1,2,1,-1,-1,0,1,4,4,4,4,5
59,5,1,1,4,2,1,2,1,5,2,2,3,6,4,5,2,2,2,1,2,1,3,6,5,6,6,4,2,2,4,3,3,2,1,1,3,3,1,2,2,3,2,2,3,1,8,4,3,6,4,5,2,5,4,5,6,1,1,19,2,5,1,1,1,1,1,1984,26,5,4,5,5,2,1,5,10,1,3,-1,0,1,4,4,4,4,4
60,1,7,7,3,-1,1,2,1,5,3,3,5,4,4,3,2,2,2,1,1,2,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1,2,1,1,3,4,2,4,4,2,2,6,6,4,4,5,5,4,2,5,6,1,1,40,2,2,1,1,3,2,2,1965,45,1,3,1,2,2,1,4,12,1,1,2,0,1,4,3,4,4,4
61,6,2,6,3,-1,1,6,1,6,3,1,6,3,3,3,1,1,1,1,1,1,3,3,2,2,2,2,3,3,3,3,3,3,2,2,3,3,2,2,2,2,2,2,2,1,1,7,2,6,5,5,5,5,5,5,6,1,3,10,4,6,1,1,1,1,4,1953,57,6,4,4,1,2,1,2,4,0,1,-1,1,3,3,3,4,3,3
62,5,4,4,3,3,1,1,1,6,6,3,6,3,3,6,2,2,2,2,2,1,2,4,1,5,1,2,1,1,1,1,1,3,1,1,2,1,-1,2,2,3,3,3,3,8,8,2,3,6,2,5,2,5,3,5,4,1,1,13,2,6,1,0,2,2,2,1986,24,1,1,1,2,2,1,3,10,1,4,-1,0,1,4,4,4,4,4
63,6,2,6,2,3,1,3,1,5,5,5,5,4,5,5,2,2,2,2,2,2,2,6,5,5,1,2,2,3,2,2,1,1,2,2,1,2,1,1,3,4,3,4,3,1,8,1,7,6,4,5,2,2,2,4,5,1,4,19,3,6,0,0,1,2,3,1981,29,5,2,3,2,4,3,5,8,0,-1,0,0,1,3,4,4,4,3
64,1,1,1,-1,-1,1,3,1,6,5,5,5,5,5,5,2,2,2,2,2,-1,1,2,4,6,2,2,1,1,1,1,1,-1,1,1,1,1,1,-1,4,3,2,2,3,2,2,2,3,4,2,4,2,1,1,4,3,1,4,30,2,5,1,1,3,1,1,1977,33,6,6,5,2,3,1,5,9,1,0,-1,-1,1,3,3,3,3,5
65,1,2,6,3,1,1,6,1,6,6,4,4,6,6,6,8,8,1,8,8,1,1,6,6,6,1,1,1,1,6,6,6,1,1,6,6,6,1,1,4,4,4,4,4,1,8,1,2,3,5,5,5,5,5,5,6,6,1,19,1,1,1,1,4,1,1,1978,32,5,5,4,1,4,3,7,10,1,4,-1,0,3,4,4,4,4,3
66,6,6,6,-1,-1,-1,1,1,-1,1,1,4,3,5,6,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,2,2,2,4,-1,-1,3,3,3,5,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,4,5,-1,5,-1,5,6,1,1,1,3,6,1,1,1,2,2,1987,23,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
67,1,6,6,1,1,1,2,1,6,6,3,3,3,3,3,2,2,2,2,1,2,1,1,2,2,3,3,2,2,1,1,1,2,1,1,1,1,2,2,3,3,3,3,3,1,1,2,1,2,2,2,2,1,2,1,6,1,1,20,2,2,1,1,4,2,7,1961,49,1,1,1,2,2,4,2,11,1,2,-1,0,1,4,4,4,4,4
68,4,2,2,3,1,1,4,1,6,6,4,3,3,6,-1,1,2,1,1,1,1,4,2,6,6,1,6,1,1,6,6,1,1,1,1,6,6,1,1,3,2,1,2,-1,-1,8,4,2,6,5,4,3,2,5,5,6,1,1,12,4,4,1,1,3,1,6,1972,38,5,5,5,2,2,1,7,11,1,1,-1,1,1,3,4,4,4,4
69,4,3,6,3,4,1,4,1,4,6,6,6,6,6,6,2,1,1,1,1,1,4,5,4,4,3,5,2,2,2,2,2,2,4,4,4,4,4,4,3,2,3,3,3,8,8,5,6,1,5,5,5,5,5,5,2,2,3,14,3,1,0,0,4,1,1,1984,26,5,4,4,1,2,1,2,2,0,8,-1,0,2,3,3,3,3,3
70,6,6,6,2,2,1,6,1,6,4,6,2,6,4,2,2,2,2,2,2,2,2,2,6,6,2,3,2,2,3,5,5,2,2,2,5,6,3,2,4,4,3,3,3,1,1,2,7,6,2,4,1,4,4,2,1,5,5,18,2,6,1,1,4,2,2,1986,24,1,1,1,1,2,1,5,2,0,1,0,0,1,3,4,4,4,4
71,2,6,3,-1,-1,1,6,1,6,5,5,6,1,5,5,1,1,2,-1,8,2,1,4,6,6,1,6,2,4,6,6,1,6,2,2,6,6,1,6,4,3,3,3,4,1,1,1,8,5,5,5,5,4,5,5,2,4,5,4,1,5,1,1,1,2,2,1980,30,1,1,1,2,4,3,5,12,1,2,0,0,1,2,2,2,1,2
72,1,4,4,4,-1,1,2,1,6,3,3,5,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,3,3,1,8,4,3,5,4,5,8,5,5,5,6,3,1,39,2,1,1,1,1,2,2,1968,42,1,4,1,1,4,3,1,10,0,1,-1,0,3,3,3,3,3,2
73,2,7,7,-1,-1,-1,4,1,3,2,1,3,1,4,4,2,2,2,2,2,2,6,6,6,6,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,5,4,5,5,2,2,1,1,1,2,4,3,3,14,3,5,1,1,4,2,3,1993,17,5,4,4,3,4,4,1,8,0,2,2,0,1,3,4,4,4,4
74,1,2,3,4,3,1,6,1,6,6,4,6,6,4,6,2,1,2,1,1,1,3,5,4,6,6,3,1,1,3,4,6,2,2,5,5,6,6,3,3,3,2,3,2,1,8,6,1,6,4,5,8,2,8,5,2,1,4,5,3,5,1,1,4,2,5,1992,18,1,1,1,2,4,4,2,11,0,4,-1,0,3,2,2,4,4,2
75,1,6,3,2,2,1,2,1,4,2,3,1,5,3,4,2,2,2,2,2,1,1,5,4,6,3,2,1,2,1,4,1,1,1,1,1,1,1,1,3,2,1,2,3,2,2,1,3,5,4,4,2,1,1,4,5,2,3,15,1,4,1,-1,1,1,1,1987,23,5,5,5,3,3,1,3,-1,1,1,0,0,1,3,3,3,3,3
