,q1a,q1b,q1c,q2b,q3b,q4a,q4b,q4c,q4d,q5a,q5b,q5c,q6a,q6b,q6c,q7a,q7b,q7c,q7d,q7e,q7f,q8a,q8b,q8c,q8d,q8e,q8f,q9a,q9b,q9c,q9d,q9e,q9f,q10a,q10b,q10c,q10d,q10e,q10f,q11a,q11b,q11c,q11d,q11e,q12a,q12b,q12c,q12d,q13a,q14a,q14b,q14c,q14d,q14e,q14f,q15a,q15b,q15c,q15d,q16a,q16b,q17a,q17b,q17c,q18b,q18c,q18g,age18,q20a,q20b,q20c,q21a,q21b,q21c,q22a,q22b,q22c,q22d1,q22d2,q22f,q23c,q24a,q24b,q24c,q24d,q25
567,2,1,1,3,3,1,2,1,6,4,4,6,6,6,6,2,2,2,2,2,2,1,2,4,5,1,2,1,2,4,4,1,4,1,2,3,4,1,1,3,3,3,3,2,8,8,3,6,5,2,3,2,2,2,3,5,6,4,8,3,5,1,0,1,1,2,1993,17,1,2,1,2,2,4,1,8,0,3,1,0,1,2,3,2,3,3
568,5,3,3,2,3,1,6,1,6,5,6,5,3,3,3,1,2,1,1,1,1,2,2,4,6,5,5,2,2,4,6,5,5,2,2,4,6,3,5,3,-1,2,2,2,1,7,4,1,6,5,4,1,5,5,5,3,5,4,14,2,6,0,0,4,2,2,1986,24,1,2,1,3,2,1,3,4,0,3,-1,0,1,4,2,3,2,3
569,6,6,1,1,2,1,1,1,3,3,2,3,4,2,3,1,1,2,3,3,3,2,2,3,4,3,1,1,3,1,3,1,1,2,2,1,1,2,1,1,3,3,2,1,1,1,2,4,2,1,1,1,1,1,1,6,2,3,15,1,3,-1,-1,1,2,1,-1,-1,1,2,1,2,2,1,7,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
570,1,3,3,2,1,1,1,1,6,4,3,5,3,4,5,1,1,1,1,1,2,3,4,5,4,1,1,1,4,5,1,1,1,2,3,6,1,1,1,2,2,2,2,2,8,3,1,3,6,4,5,8,5,5,5,5,5,5,12,1,6,1,1,4,2,2,1987,23,1,1,1,1,2,1,5,1,0,1,0,0,1,3,3,3,3,4
571,4,2,4,2,2,1,2,1,4,4,4,4,5,5,5,1,1,1,1,1,1,4,4,6,6,6,2,3,6,6,6,6,4,3,4,6,6,4,2,4,4,4,4,4,8,8,7,7,3,4,5,4,5,4,5,6,3,1,13,3,3,1,1,1,1,1,1973,37,5,4,4,1,4,1,7,11,0,2,-1,0,2,4,4,4,4,5
572,6,2,6,4,4,1,6,1,6,6,6,6,6,6,6,2,2,2,2,2,2,1,1,1,2,1,6,1,1,1,2,1,6,1,1,1,2,1,6,4,4,4,4,4,7,8,7,-1,6,5,5,5,5,5,5,4,2,4,5,2,6,1,1,4,2,2,1971,39,6,3,1,1,4,1,7,-1,1,1,-1,0,3,3,3,3,3,5
573,1,3,4,1,2,1,6,1,6,6,3,6,1,6,4,1,1,1,1,1,1,2,3,6,6,2,2,2,3,6,6,2,2,2,2,2,6,2,2,4,4,2,3,4,1,8,4,1,4,5,5,8,5,5,5,6,5,3,-1,2,4,1,1,1,2,2,1975,35,1,1,1,1,2,1,7,8,0,1,-1,0,1,3,3,2,3,4
574,6,6,6,2,2,1,4,1,6,6,6,6,6,6,6,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,2,2,2,1,8,8,1,4,6,5,5,5,5,5,5,3,5,5,14,1,6,0,0,3,2,2,1980,30,1,2,1,1,2,1,3,2,0,6,-1,0,1,3,3,2,2,1
575,1,3,3,3,3,1,3,1,3,4,3,3,2,3,5,1,1,1,1,1,1,1,2,2,2,1,1,2,3,4,4,1,2,1,1,1,1,1,1,3,3,2,3,4,2,2,1,6,4,2,2,1,1,1,1,3,1,6,13,4,5,1,1,4,1,1,1984,26,6,6,4,2,2,1,7,11,1,0,0,0,1,3,3,3,3,3
576,1,3,2,3,2,1,3,1,6,5,5,5,4,5,5,2,2,2,8,8,2,1,2,5,2,1,2,1,2,2,1,1,2,1,1,1,1,1,1,2,3,2,3,3,1,8,2,2,4,4,4,8,5,1,8,6,1,3,15,1,5,1,1,4,1,1,1990,20,6,6,5,2,2,1,2,-1,-1,-1,-1,0,1,3,3,3,3,3
